iter	Passed	Remaining
432	734	961
433	735	958
434	736	956
435	737	953
436	738	951
437	739	949
438	741	947
439	742	945
440	744	943
441	745	941
442	746	938
443	747	936
444	749	934
445	750	932
446	751	930
447	753	927
448	754	925
449	756	924
450	758	922
451	759	920
452	760	918
453	761	916
454	762	913
455	764	911
456	765	909
457	766	907
458	767	904
459	768	902
460	770	900
461	771	898
462	772	896
463	774	894
464	775	892
465	776	890
466	778	887
467	779	885
468	780	883
469	781	881
470	782	878
471	783	876
472	784	874
473	786	872
474	787	870
475	788	867
476	789	865
477	790	863
478	791	861
479	792	858
480	793	856
481	794	854
482	796	852
483	797	850
484	798	848
485	800	846
486	801	844
487	803	842
488	804	841
489	806	839
490	807	837
491	809	835
492	810	833
493	811	831
494	812	829
495	814	827
496	815	825
497	816	823
498	818	821
499	819	819
500	820	817
501	821	814
502	822	812
503	823	810
504	824	808
505	825	806
506	827	804
507	828	802
508	829	800
509	830	798
510	831	796
511	833	793
512	834	791
513	835	789
514	836	787
515	837	785
516	838	783
517	839	781
518	840	779
519	842	777
520	843	775
521	844	773
522	845	771
523	846	769
524	848	767
525	849	765
526	850	763
527	851	761
528	853	759
529	854	757
530	855	755
531	856	753
532	857	751
533	858	749
534	859	747
535	861	745
536	862	743
537	863	741
538	864	739
539	866	737
540	867	735
541	868	734
542	869	732
543	871	730
544	872	728
545	873	726
546	875	724
547	876	722
548	877	721
549	879	719
550	880	717
551	881	715
552	883	713
553	884	711
554	885	710
555	886	707
556	887	706
557	888	704
558	890	702
559	891	700
560	892	698
561	894	696
562	895	694
563	896	692
564	897	691
565	898	689
566	899	687
567	900	685
568	902	683
569	903	681
570	904	679
571	905	677
572	906	675
573	907	673
574	908	671
575	910	669
576	911	667
577	912	666
578	913	664
579	914	662
580	915	660
581	916	658
582	917	656
583	919	654
584	920	653
585	922	651
586	923	649
587	924	647
588	926	646
589	927	644
590	929	643
591	930	641
592	931	639
593	932	637
594	934	635
595	935	634
596	936	632
597	937	630
598	939	628
599	940	626
600	941	625
601	942	623
602	943	621
603	944	619
604	945	617
605	946	615
606	947	613
607	949	612
608	950	610
609	951	608
610	953	606
611	954	604
612	955	603
613	956	601
614	957	599
615	959	597
616	960	595
617	961	594
618	962	592
619	963	590
620	965	589
621	966	587
622	967	585
623	968	583
624	969	581
625	971	580
626	972	578
627	973	576
628	974	574
629	975	573
630	976	571
631	977	569
632	979	567
633	980	566
634	981	564
635	982	562
636	984	560
637	985	558
638	986	557
639	987	555
640	988	553
641	989	552
642	991	550
643	992	548
644	993	546
645	994	545
646	996	543
647	997	541
648	998	540
649	999	538
650	1000	536
651	1001	534
652	1002	532
653	1003	531
654	1005	529
655	1006	527
656	1007	525
657	1008	524
658	1009	522
659	1010	520
660	1012	519
661	1013	517
662	1014	515
663	1016	514
664	1017	512
665	1018	510
666	1020	509
667	1022	508
668	1023	506
669	1025	505
670	1026	503
671	1028	501
672	1029	500
673	1030	498
674	1033	497
675	1034	495
676	1035	494
677	1037	492
678	1039	491
679	1040	489
680	1041	487
681	1043	486
682	1044	484
683	1045	483
684	1046	481
685	1048	479
686	1049	478
687	1050	476
688	1051	474
689	1053	473
690	1054	471
691	1055	469
692	1059	469
693	1061	468
694	1063	466
695	1064	464
696	1065	463
697	1066	461
698	1068	459
699	1069	458
700	1071	456
701	1072	455
702	1074	453
703	1075	452
704	1077	450
705	1079	449
706	1081	448
707	1082	446
708	1084	444
709	1085	443
710	1086	441
711	1088	440
712	1089	438
713	1091	437
714	1094	436
715	1095	434
716	1096	432
717	1097	431
718	1099	429
719	1100	427
720	1101	426
721	1103	424
722	1104	423
723	1105	421
724	1106	419
725	1108	418
726	1109	416
727	1111	415
728	1112	413
729	1113	411
730	1114	410
731	1116	408
732	1117	407
733	1118	405
734	1120	403
735	1121	402
736	1122	400
737	1125	399
738	1127	398
739	1129	396
740	1130	395
741	1132	393
742	1133	392
743	1134	390
744	1136	388
745	1137	387
746	1139	385
747	1140	384
748	1141	382
749	1143	381
750	1144	379
751	1145	377
752	1146	376
753	1148	374
754	1149	372
755	1150	371
756	1151	369
757	1152	368
758	1153	366
759	1155	364
760	1156	363
761	1157	361
762	1159	360
763	1160	358
764	1161	356
765	1162	355
766	1164	353
767	1165	352
768	1166	350
769	1167	348
770	1168	347
771	1169	345
772	1171	343
773	1172	342
774	1173	340
775	1174	339
776	1175	337
777	1177	335
778	1178	334
779	1179	332
780	1180	331
781	1182	329
782	1183	327
783	1184	326
784	1185	324
785	1187	323
786	1188	321
787	1189	320
788	1190	318
789	1191	316
790	1192	315
791	1194	313
792	1195	312
793	1196	310
794	1198	309
795	1200	307
796	1201	306
797	1202	304
798	1204	302
799	1205	301
800	1206	299
801	1207	298
802	1208	296
803	1209	294
804	1210	293
805	1211	291
806	1212	290
807	1213	288
808	1214	286
809	1216	285
810	1217	283
811	1218	282
812	1219	280
813	1220	278
814	1221	277
815	1222	275
816	1223	274
817	1224	272
818	1225	270
819	1227	269
820	1228	267
821	1229	266
822	1230	264
823	1231	263
824	1232	261
825	1233	259
826	1235	258
827	1236	256
828	1237	255
829	1239	253
830	1240	252
831	1241	250
832	1242	249
833	1244	247
834	1245	246
835	1246	244
836	1247	242
837	1248	241
838	1251	240
839	1252	238
840	1253	237
841	1255	235
842	1256	233
843	1257	232
844	1258	230
845	1259	229
846	1260	227
847	1261	226
848	1263	224
849	1264	223
850	1265	221
851	1266	220
852	1267	218
853	1268	216
854	1270	215
855	1271	213
856	1272	212
857	1273	210
858	1274	209
859	1275	207
860	1276	206
861	1277	204
862	1279	203
863	1280	201
864	1281	200
865	1282	198
866	1283	196
867	1284	195
868	1286	193
869	1287	192
870	1288	190
871	1289	189
872	1290	187
873	1293	186
874	1294	184
875	1296	183
876	1297	181
877	1298	180
878	1299	178
879	1300	177
880	1301	175
881	1303	174
882	1304	172
883	1305	171
884	1306	169
885	1307	168
886	1309	166
887	1310	165
888	1312	163
889	1313	162
890	1314	160
891	1315	159
892	1316	157
893	1318	156
894	1319	154
895	1320	153
896	1321	151
897	1323	150
898	1324	148
899	1325	147
900	1326	145
901	1327	144
902	1328	142
903	1329	141
904	1331	139
905	1332	138
906	1333	136
907	1334	135
908	1335	133
909	1337	132
910	1340	130
911	1341	129
912	1342	127
913	1344	126
914	1345	124
915	1346	123
916	1347	121
917	1349	120
918	1350	119
919	1352	117
920	1353	116
921	1354	114
922	1355	113
923	1357	111
924	1358	110
925	1359	108
926	1360	107
927	1361	105
928	1362	104
929	1364	102
930	1366	101
931	1367	99
932	1368	98
933	1370	96
934	1371	95
935	1372	93
936	1373	92
937	1374	90
938	1375	89
939	1377	87
940	1378	86
941	1379	84
942	1380	83
943	1382	81
944	1383	80
945	1384	79
946	1386	77
947	1387	76
948	1388	74
949	1389	73
950	1391	71
951	1392	70
952	1393	68
953	1394	67
954	1395	65
955	1396	64
956	1398	62
957	1399	61
958	1401	59
959	1402	58
960	1403	56
961	1405	55
962	1406	54
963	1407	52
964	1408	51
965	1410	49
966	1411	48
967	1412	46
968	1414	45
969	1415	43
970	1416	42
971	1417	40
972	1419	39
973	1420	37
974	1421	36
975	1422	34
976	1424	33
977	1425	32
978	1426	30
979	1427	29
980	1429	27
981	1430	26
982	1431	24
983	1432	23
984	1433	21
985	1435	20
986	1436	18
987	1437	17
988	1439	16
989	1440	14
990	1441	13
991	1442	11
992	1443	10
993	1444	8
994	1446	7
995	1447	5
996	1448	4
997	1449	2
998	1450	1
999	1452	0
